,label,S,Ag,Cr,Fe_Ka,Fe_Kb,Ar_Kb,Ca_Ka,Ni_Ka,Ni_kb,Cu_Ka,Cu_Kb,Zn_Ka,Zn_Kb,Pb_La,Pb_Lb,Ti,Nkr,Kr
11,0.4278350515463918,0.4386329094961499,0.4816108075299215,0.14618830662783755,0.43997871411070477,0.4553082028965916,0.39093296190064103,0.31701084103943233,0.40783649880117834,0.30246530079044953,0.08200915594132167,0.10004149423081907,0.520009392171638,0.5250471748165152,0.5785918670882916,0.5393582746060921,0.3772303059929656,0.3382112453120615,0.35201340470412973
12,0.4278350515463918,0.4136705743646833,0.4547309375104491,0.14661528649045774,0.4390314412967891,0.4498854678298032,0.5238548192669301,0.30308266824186303,0.4115658617499719,0.2964671512808842,0.08374452298621335,0.09628588940820848,0.5157231703695442,0.5298737135834485,0.6147013849553297,0.548520434451363,0.37064025533702927,0.3408022415481259,0.3450979517097435
13,0.32474226804123707,0.4432317174972819,0.4858825870304739,0.12284033743500755,0.4190541698011499,0.43804921684105397,0.5799141181460272,0.18711188548315216,0.426803412071891,0.28790146593913846,0.07351018358755741,0.0858697609872045,0.5192254392000476,0.5346004319476374,0.5718816471799163,0.5429116661707811,0.3466231331312263,0.36126467458731537,0.37675299281816005
14,0.17525773195876287,0.21316504236610717,0.25992748613725997,0.4913862973881702,0.6357395736699495,0.6532661276223459,0.2648587888869041,0.4294714402896187,0.22852298703554874,0.44759650117011185,0.07569313234115624,0.09374553207753875,0.7171880704264351,0.7261573820089945,0.7505699306972501,0.4281504088831376,0.576287000169474,0.17024842278062438,0.18558138181289718
15,0.1649484536082474,0.39748758647515164,0.420143408446426,0.4525387070007141,0.52124391170606,0.5313878185058251,0.3290339287024831,0.37609642635954144,0.4039176716362587,0.3840468165412011,0.05907795631475933,0.0762345694031675,0.5632852055838498,0.5623543155446501,0.6039938043820187,0.46846159875258153,0.47877797188638715,0.3215170911034271,0.3297570485617915
16,0.20103092783505155,0.4519591836671976,0.558981516514427,0.4051225115986907,0.4405247889527027,0.4536931539276016,0.5982271190031785,0.6535101918586304,0.4211465956339677,0.3374072736707928,0.057569050711790734,0.0741018645285359,0.5267464982300475,0.5299276686275587,0.5497186618348782,0.5359536712046806,0.38644612098109077,0.4104978788652893,0.41405611948315985
17,0.19587628865979384,0.3807866992575509,0.35337107785685457,0.37500500284553473,0.5477938589858885,0.5656621002638922,0.30400849593242923,0.3424262503616513,0.26995471473130905,0.40499617514798547,0.0801848474665155,0.10040270822593303,0.6455777429544585,0.6636661632130776,0.6681286631977333,0.494860554214404,0.4937155650230758,0.2288318933795113,0.2484768664214782
18,0.19072164948453607,0.3503729830118571,0.3974034728522016,0.43617146371471427,0.5366625936168984,0.563855007099408,0.40359879253900005,0.4231251161235301,0.32593704516974586,0.36327693192496124,0.07550726049488571,0.09862294797508822,0.6290608908540536,0.6404164085685298,0.6444606829940235,0.4989892125318829,0.5309627631633957,0.26263340754428044,0.2696071765258778
19,0.25257731958762886,0.13157352426021857,0.20904720728051468,0.41327190904405975,0.7430014029481071,0.7554010824476582,0.10006135438515457,0.26105713443304635,0.12572914823361847,0.4095515308130181,0.10290219810398303,0.1233337068550491,0.8039205550082342,0.8063389907182539,0.6701388148843902,0.34816278708688464,0.6612196427847855,0.0972532107254103,0.10202539840570524
20,0.17525773195876287,0.2415295246510612,0.31508417480839607,0.30914015068196354,0.6431662375497114,0.6495388695263391,0.28700591426360506,0.40332777412339516,0.25255788175157057,0.43387372536412705,0.07786319669738374,0.09706143928853778,0.7476200925227615,0.7581997910640755,0.5926387992650678,0.4134445805727367,0.5954451784659708,0.1968437641827437,0.20223945004156269
21,0.365979381443299,0.20943030545849778,0.27581026920549595,0.46903562033200963,0.687821614308321,0.6940492769733008,0.20407974621156105,0.40538257511925635,0.2405901369553577,0.4236570348998686,0.11633904557822589,0.1377646942999337,0.7422150548371131,0.735756206337512,0.6410185100124134,0.43034804994062936,0.6631029407831438,0.16900696580146943,0.17032708928064139
22,0.40721649484536093,0.3361336826671813,0.385235335932308,0.4951411098266092,0.5852149665663401,0.5945237199523102,0.30271419653681403,0.44700573987957637,0.3523371917893441,0.4041552255539026,0.10570787594015772,0.12035420171859385,0.7391310470074782,0.7405877673829097,0.52348705053815,0.4703691788397071,0.5236217291940091,0.24063189443620628,0.25683624941824174
23,0.20103092783505155,0.331260867073837,0.40090220422841344,0.24087534551830303,0.5084214191533734,0.5200833061398296,0.38416230904886034,0.30928284237064374,0.34904013448223703,0.4129177979961619,0.07516739464898499,0.09682886420809032,0.6176571795598663,0.6289852903938249,0.6589576678984458,0.4738407361941299,0.41708942501523094,0.26852302887232415,0.2701948271851538
24,0.2989690721649485,0.6651716164899781,0.6498962249266507,0.003582883772236478,0.17100190259698683,0.1836850415771713,0.6506941865798748,0.38102175828118345,0.6161409312597135,0.9108870902177794,0.6233085211013628,0.6360997958662791,0.6239022372009205,0.5781130125963488,0.5571857565310874,0.8932325344139507,0.12673605741296684,0.5082108476685159,0.5114816771421247
25,0.2886597938144331,0.35517658584214246,0.4453530673492691,0.37807566217074684,0.5494231757847391,0.5659547338773386,0.38660686892066914,0.572008356226285,0.2711084953109689,0.2930791107827274,0.08127105242146904,0.09860425288521225,0.6097982208261631,0.6043288356355062,0.5864543922651914,0.4759321762137052,0.4681160101840389,0.27399111826920464,0.285579690109987
26,0.2319587628865979,0.3519861210214678,0.4403123791273373,0.4033091696625877,0.528927899107263,0.5381539528934473,0.3744224516959013,0.5264997693624014,0.30490366514816525,0.35905863178826525,0.0946441313069847,0.10574687728301316,0.5643724763956811,0.5696376756554702,0.5913498808538796,0.5043152113092719,0.49281490497417535,0.3012040705067113,0.30651195670256953
27,0.4329896907216496,0.2912145656332226,0.3621159831001552,0.4349888571780862,0.616710174536807,0.6212877320467326,0.24552146938328495,0.3472519405012968,0.2951669971176568,0.37974110263701666,0.12191908844624277,0.13578380168024795,0.6493843936217603,0.650626465717301,0.5875689716074123,0.4452678520959159,0.5845733369495673,0.22659374379222239,0.2247797355941245
