Concentration,S,Ag,Cr,Fe_Ka,Fe_Kb,Ar_Kb,Ca_Ka,Ni_Ka,Ni_kb,Cu_Ka,Cu_Kb,Zn_Ka,Zn_Kb,Pb_La,Pb_Lb,Ti,Nkr,Kr
11.95,10.231718326813121,10.599525194770456,6.687397599224262,1849.9515163674057,364.7641020496874,4.881800247433711,7.456448323135052,18.557528337847327,22.854181295348916,1543.284180960979,228.35790951951049,1308.991206072157,213.52860534323068,116.31056274450798,132.09282107867725,10.398903266793727,1107.2324205035611,250.97803189888654
16.8,13.939789480730292,13.236942952290109,5.656241109828137,999.69878005924,201.98470472078586,7.279481901701893,8.032531753602088,23.093528791606005,19.746640560938467,1363.1373730274279,204.24385427648645,679.7864685308834,122.39570259551182,80.00736315410747,117.10761919105713,6.5599009321083726,1785.1465100322976,360.37619023712705
17.19,14.058843196255433,13.3065864259445,5.633567368772986,951.9893012370445,194.70076897358743,6.452691407556001,9.043798060849214,23.520561685055167,20.82915412905383,1358.1410899364762,203.9618856569709,825.5432965563357,146.2219993313273,90.28752925442996,133.43363423604146,7.2885322634570375,1795.7873620862588,358.6760280842528
15.12,9.00810562379878,9.743461184925211,6.451073786245509,1812.4509066599817,357.31595220188854,4.595972257040194,6.868889445976435,19.018968830951785,24.11631987966909,1701.3119411715552,249.58636249686637,1267.2181833375114,205.96640762095763,119.44514080387732,139.68413136124343,10.09442633909919,1092.5043870644272,247.01261803292388
14.9,10.264812090410592,9.813427845392537,6.620302260264812,1557.5431322723016,308.09482412732376,5.115688110204627,7.289019660291561,23.30480139093219,28.888591681155543,1564.2303062725691,232.56319379430252,1705.2628059382105,275.46141500601846,79.51049886318042,111.99344656947973,8.793633810351745,1206.8342918282733,269.5934198207837
15.04,12.858026652398548,12.139047268714364,5.450866955373117,1028.5919708395338,208.10273044961292,5.852157774173591,8.059257277576203,23.475512899827777,22.238199541859647,1209.8750982326483,181.90178407209856,1097.731034828699,188.17195311585598,76.11149196582339,122.10945207082783,6.922266624308191,1693.8151052552375,350.7950574347484
16.86,10.614823977800809,11.08287920831801,6.335461870214971,1442.2118952893584,292.4676540403196,5.299053859784026,6.887098391895957,22.14904215840326,24.957373541506467,1756.2435224499347,260.7569121727792,1386.2458627260874,222.72742469325667,90.38480826451807,124.72000267460132,8.35812911637859,1248.5038948881681,269.9675704590284
14.82,10.792089147675936,11.729076732590437,5.103235953552187,1121.992437171636,233.07566174748186,6.040223538466687,7.8974667871365,21.985744403172372,25.36559247732825,1422.9662349831008,216.59471940568216,1395.9943780744904,236.84034400829904,110.26336043904561,149.0981494495198,6.676036542515812,1437.6735936820266,304.7719439146003
17.76,10.645943009944013,10.863207153004094,5.53187933483747,1171.1372942257876,240.37770535639675,5.180914180663491,8.27275006267235,21.392161778223446,25.72073201303585,1710.2030584106292,256.12099941505807,1567.5607921784908,254.11548424834962,114.58176652460934,149.9122587114565,7.370268237653547,1270.8949611431435,278.46578089746805
14.57,12.76375361277712,13.214828675008771,5.31266184406168,1000.3842491270863,205.53987002355615,6.264931419884057,8.50360024725596,21.20052792488765,20.632507476151495,1186.0601099286632,179.56128773577026,1028.367609469235,182.55174833352825,114.6231852581987,148.4204019579999,7.100255609201931,1680.956279131931,345.55691063701823
17.92,13.008265842865493,12.55740168656592,5.844535359438924,993.0867496034066,203.57351590548552,6.362194205560658,8.148952158303414,21.875260916757117,19.921516239458963,1519.779577523587,229.60674626367205,807.1637304834265,144.74409284461885,95.56650246305419,130.09935710111046,6.846455706771312,1652.500626200217,336.7788260833264
16.14,9.69475746362373,9.79522127153693,5.659461179110226,1616.5631331312895,323.3929976725885,4.9394705557322975,7.099442425866082,18.569060495956332,23.793178507442693,1713.008388727961,255.27853590743936,1218.3245985633675,197.46161445339317,112.43574502285551,131.22247710262377,8.907790968303669,1146.8613432011118,254.3408737002495
16.66,12.632423219596966,12.649132774120243,5.163252347692411,1093.7238913210574,226.3810446813488,6.182535173612272,7.753233298800255,20.920362263142067,22.975637469505063,1498.6799451926613,225.72937205494102,1047.3381679644422,178.47475186311533,102.7804698726732,137.28569996323898,7.40233265381145,1535.8754135614745,317.16405440630956
19.34,13.458162668227034,13.240825879796038,5.600601855721809,901.0950430494023,181.24216333695563,6.553540081919251,8.777062609713283,22.686617069297,20.22903953857728,1513.5668310624426,222.41912563738194,800.9863746551869,140.86767533227453,96.96564406921341,136.1029842012873,7.105241160244086,1792.3932124049152,356.86700660369473
16.95,11.916500927581769,11.782795447328398,6.150452091655107,1232.8480938612472,243.67823776177028,6.016746611401735,8.139321110424014,21.91098557652132,22.980629418548293,1618.1538615814015,238.46372403188877,1106.3459963565258,189.3938127789013,109.0869587017198,138.41859843230324,7.320375043872111,1443.3172329650863,302.25795129777885
18.59,10.935804324234075,10.768845479589281,5.74338425578095,1352.1662910092662,273.2448451456716,5.209115952917606,7.42966858669338,18.966524751648716,22.572835795976292,1893.7640871525168,279.6560647800317,986.4429418148426,162.70139410635278,96.05142332415059,120.6444611403289,7.062359128474831,1278.1868269471574,278.2202187160865
18.66,12.125665993018556,11.424181183505086,5.728792611026673,1167.6715714929935,238.50483523457987,5.962620880864497,7.733034923922302,20.092529186778684,21.244968516693667,1770.2470228650645,261.603727890702,863.1436540677769,147.91308269169744,92.72961100997111,120.7221953134134,7.2987824227949165,1435.8725969969769,302.15623068829024
17.31,10.310139696544349,10.694472294632712,5.7984091972461735,1425.773678230065,288.14918788851014,5.046454114029811,8.020854220974533,19.500701824744336,22.80930419089633,1829.9913107412606,264.6547690662389,1116.7034289151795,184.63003809905754,111.62355457522892,132.8955283737718,8.655838513468352,1219.1030011362877,268.39783436936034
16.99,12.197567170164417,13.333778906563294,5.380296751771153,1068.0390322149447,218.43670632268413,5.831439647106002,8.371207057879962,21.420933030343537,20.56877422804438,1472.664082341933,218.45341531880766,828.5489907766341,147.49030878224838,95.9931827295816,129.44459296885444,7.234995321481086,1597.3299024194628,335.3662611950274
15.87,11.753690792663557,11.937603450870242,5.751450402099948,1223.1194930698366,251.22469111033087,5.651134406714484,7.858086305194696,21.032920365818995,23.1228369363495,1525.973483138553,229.6734714350203,1091.7556971125712,186.32024209593553,105.78321713397202,134.85813646319238,8.443262944943237,1435.2209459798364,302.7871127384595
23.96,14.141481679593475,13.121824017116877,5.499465097619685,936.2964696442899,192.16368012837657,6.485691361326558,8.775742177052688,24.120754212356246,26.745119015779622,1871.7404386199519,278.63399304626904,1247.0246055094944,206.12128911473656,61.580636533832575,104.2725327627708,6.636132655790319,1638.6065792992779,337.3395292859053
23.58,13.31103678929766,12.892976588628763,5.2842809364548495,841.6555183946489,174.66555183946488,6.438127090301004,9.046822742474918,24.130434782608695,25.183946488294314,1759.448160535117,267.4247491638796,1172.9765886287626,196.83946488294316,68.51170568561874,119.1304347826087,6.404682274247492,1699.3311036789298,350.0836120401338
22.1,10.450107009095774,10.399946495452113,6.270064205457464,1374.7993579454253,280.9824772605671,5.1999732477260565,7.206393793472445,22.037185660781166,31.266720171214555,2350.889513108614,344.535848047084,1898.2744783306582,293.85700909577315,79.28705189941145,112.45987158908507,8.2597645799893,1141.5362493311932,251.8559390048154
15.61,12.154751554871932,11.98756102454357,5.634320872065806,1085.7687420584498,222.029024276065,6.219487728215074,8.209055039122584,24.092155420316995,31.431819701732095,1427.0882097238014,217.53159901023207,2169.230254798368,362.87032702467735,98.90991774225908,142.11195077910787,7.0220022737912124,1458.5200294255335,307.16244231926703
19.31,12.181672348105073,11.045384666800347,5.815119310206537,1070.6002272575363,220.8909832230466,5.831829423166901,7.653231735846534,23.444288483390146,33.21970456520286,1640.3148185281732,252.40625626629236,2196.3438272842723,353.9034823875409,98.70663725686785,142.30332197045652,6.684045184145445,1397.8176592473765,300.3809905754963
14.6,12.042550344550747,11.156084833076871,5.937646350438215,1197.6149060012044,250.0,6.255435873419415,7.593497022813943,23.482973171873954,28.98574964875895,1399.6454137954106,209.72435940322475,2073.810798153476,339.18177560714525,80.73526460159229,125.45995852010438,7.744028902120827,1384.391516692313,293.68769652773136
24.72,11.53550799639411,12.10310173283029,5.759407031484758,1079.5632867016127,223.7654836232513,5.876264565456913,7.629127575039231,22.019298187038828,27.428132616607126,2152.1485092317453,320.9408700878101,1225.8021435010517,203.03161830990618,72.66869219725551,113.96948348969984,6.927982371206303,1445.8448799706186,310.3736102300424
20.13,12.895466541943675,12.043563959509571,5.395383022082651,967.1098787291618,196.02111382086662,6.481141215381018,9.070256907092507,23.11829753115291,23.786456419336517,1702.8363344803395,255.1364714529115,971.6533591688103,162.9806568001871,64.15995723783115,107.69050880299335,7.099188186950857,1696.6057528480274,347.6931814385461
